project_id,project_name,project_type,implementing_agency,state,district,scenario,land_required_ha,land_to_acquire_ha,total_parcels,affected_families,vulnerable_families,date_initiation,terrain_type,urban_rural,forest_involved,proximity_km_to_urban
SYN-00025,Synthetic Industrial Corridor Project 00025,Industrial Corridor,NHIDCL,Odisha,ODI-24,DOCUMENTATION_DELAY,21.6838,19.0833,148,75,20,2021-01-28,Hilly,Semi-Urban,0,17.297
SYN-00026,Synthetic Industrial Corridor Project 00026,Industrial Corridor,Irrigation Department,Maharashtra,MAH-16,MULTI_FACTOR_DELAY,44.1756,37.6545,585,142,17,2021-08-07,Riverine,Semi-Urban,0,75.137
SYN-00027,Synthetic Railway Project 00027,Railway,Irrigation Department,West Bengal,WES-07,RNR_DELAY,56.7732,42.9715,759,315,58,2023-05-22,Hilly,Rural,0,73.514
SYN-00028,Synthetic Transmission Project 00028,Transmission,State PWD,Bihar,BIH-06,NORMAL,24.2288,14.9251,265,179,26,2025-07-10,Plain,Urban,0,35.543
SYN-00029,Synthetic Transmission Project 00029,Transmission,NHIDCL,West Bengal,WES-26,MULTI_FACTOR_DELAY,21.0856,14.5667,266,106,8,2020-04-29,Plain,Rural,0,40.092
SYN-00030,Synthetic Urban Infrastructure Project 00030,Urban Infrastructure,NHIDCL,Assam,ASS-33,NORMAL,9.8847,7.3454,150,98,21,2023-08-09,Coastal,Rural,1,64.041
SYN-00031,Synthetic Urban Infrastructure Project 00031,Urban Infrastructure,NHAI,Bihar,BIH-24,NORMAL,10.6595,7.8566,188,63,13,2019-04-07,Coastal,Rural,0,60.78
SYN-00032,Synthetic Railway Project 00032,Railway,Irrigation Department,West Bengal,WES-32,NORMAL,30.3525,21.5418,223,121,13,2020-04-19,Riverine,Semi-Urban,0,9.518
SYN-00033,Synthetic Transmission Project 00033,Transmission,NHAI,Maharashtra,MAH-22,RNR_DELAY,27.3438,17.4478,392,92,8,2025-04-10,Plain,Urban,0,44.82
SYN-00034,Synthetic Urban Infrastructure Project 00034,Urban Infrastructure,Railway,West Bengal,WES-37,DOCUMENTATION_DELAY,14.0445,10.2884,98,44,7,2023-09-17,Riverine,Semi-Urban,0,65.016
SYN-00035,Synthetic Railway Project 00035,Railway,Power Utility,Jharkhand,JHA-38,NORMAL,19.9901,13.5212,117,25,2,2024-07-25,Plain,Rural,0,48.635
SYN-00036,Synthetic Urban Infrastructure Project 00036,Urban Infrastructure,State PWD,Jharkhand,JHA-02,COMPENSATION_DELAY,67.3955,55.4858,888,438,123,2022-01-23,Hilly,Semi-Urban,0,33.259
SYN-00037,Synthetic Industrial Corridor Project 00037,Industrial Corridor,Irrigation Department,Maharashtra,MAH-37,NORMAL,5.4654,4.9356,57,22,2,2022-07-16,Riverine,Rural,0,48.43
SYN-00038,Synthetic National Highway Project 00038,National Highway,NHIDCL,Uttar Pradesh,UTT-36,RECOVERY,8.337,7.0347,153,45,11,2021-03-08,Coastal,Semi-Urban,0,14.644
SYN-00039,Synthetic Transmission Project 00039,Transmission,NHIDCL,Uttar Pradesh,UTT-03,NORMAL,11.7918,10.0842,191,91,26,2024-11-13,Rolling,Urban,1,41.942
SYN-00040,Synthetic Urban Infrastructure Project 00040,Urban Infrastructure,Railway,Uttar Pradesh,UTT-25,MULTI_FACTOR_DELAY,13.2685,9.2658,199,141,33,2025-03-22,Riverine,Semi-Urban,0,24.492
SYN-00041,Synthetic National Highway Project 00041,National Highway,Irrigation Department,Bihar,BIH-19,NORMAL,20.8314,13.8707,347,177,42,2019-05-11,Rolling,Rural,0,42.385
SYN-00042,Synthetic Transmission Project 00042,Transmission,Irrigation Department,Assam,ASS-34,RECOVERY,46.6115,44.044,587,464,69,2022-06-22,Hilly,Rural,0,57.313
SYN-00043,Synthetic Industrial Corridor Project 00043,Industrial Corridor,Railway,Odisha,ODI-02,ADMINISTRATIVE_BOTTLENECK,16.4812,10.1629,329,105,25,2022-05-13,Coastal,Semi-Urban,0,5.723
SYN-00044,Synthetic Industrial Corridor Project 00044,Industrial Corridor,Irrigation Department,Jharkhand,JHA-17,COMPENSATION_DELAY,43.881,28.2058,449,340,85,2023-03-06,Plain,Semi-Urban,0,41.276
SYN-00045,Synthetic Industrial Corridor Project 00045,Industrial Corridor,Railway,Bihar,BIH-32,NORMAL,13.8344,8.9917,237,144,8,2024-12-16,Coastal,Rural,0,39.332
SYN-00046,Synthetic Transmission Project 00046,Transmission,Irrigation Department,Bihar,BIH-17,NORMAL,24.9286,17.9311,453,165,17,2019-10-01,Plain,Rural,0,36.1
SYN-00047,Synthetic Industrial Corridor Project 00047,Industrial Corridor,Power Utility,Odisha,ODI-34,NORMAL,18.2326,16.2069,213,164,40,2025-11-22,Coastal,Rural,0,44.776
SYN-00048,Synthetic Industrial Corridor Project 00048,Industrial Corridor,State PWD,Odisha,ODI-08,RNR_DELAY,11.1779,7.9524,157,99,26,2020-12-02,Hilly,Rural,0,49.455
SYN-00049,Synthetic National Highway Project 00049,National Highway,State PWD,West Bengal,WES-24,COMPENSATION_DELAY,112.8094,76.5661,2239,535,92,2022-02-20,Plain,Urban,0,67.767
SYN-00050,Synthetic National Highway Project 00050,National Highway,Railway,Uttar Pradesh,UTT-31,MULTI_FACTOR_DELAY,16.4898,13.5259,153,116,14,2019-10-07,Coastal,Rural,0,21.905
SYN-00051,Synthetic Irrigation Project 00051,Irrigation,NHAI,Assam,ASS-17,NORMAL,9.4429,7.1081,165,95,8,2023-05-26,Coastal,Urban,0,74.044
SYN-00052,Synthetic Transmission Project 00052,Transmission,Irrigation Department,Odisha,ODI-24,MULTI_FACTOR_DELAY,21.9089,21.82,417,199,15,2022-07-01,Hilly,Rural,1,60.188
SYN-00053,Synthetic Urban Infrastructure Project 00053,Urban Infrastructure,NHAI,Maharashtra,MAH-02,NORMAL,24.3745,18.2134,296,197,11,2022-02-06,Plain,Semi-Urban,0,16.382
SYN-00054,Synthetic Urban Infrastructure Project 00054,Urban Infrastructure,State PWD,Bihar,BIH-11,ADMINISTRATIVE_BOTTLENECK,16.9844,14.4606,149,43,12,2025-01-05,Plain,Urban,0,65.113
SYN-00055,Synthetic Urban Infrastructure Project 00055,Urban Infrastructure,State PWD,Madhya Pradesh,MAD-33,NORMAL,57.8579,42.6892,652,220,52,2019-03-29,Plain,Urban,0,47.492
SYN-00056,Synthetic Transmission Project 00056,Transmission,NHAI,Madhya Pradesh,MAD-29,NORMAL,86.2038,71.3323,456,329,24,2023-11-15,Hilly,Rural,0,67.458
SYN-00057,Synthetic Irrigation Project 00057,Irrigation,State PWD,Assam,ASS-16,LEGAL_DELAY,19.1106,13.7137,225,101,28,2019-07-05,Plain,Rural,0,25.29
SYN-00058,Synthetic Railway Project 00058,Railway,Railway,West Bengal,WES-26,NORMAL,10.3139,8.9305,107,54,5,2020-12-07,Coastal,Rural,0,46.545
SYN-00059,Synthetic Industrial Corridor Project 00059,Industrial Corridor,Irrigation Department,Uttar Pradesh,UTT-15,NORMAL,37.0529,34.0745,253,169,22,2021-04-03,Rolling,Rural,0,59.206
SYN-00060,Synthetic Industrial Corridor Project 00060,Industrial Corridor,NHIDCL,Assam,ASS-28,NORMAL,5.5001,4.9045,63,23,7,2023-01-05,Riverine,Semi-Urban,0,53.783
SYN-00061,Synthetic Industrial Corridor Project 00061,Industrial Corridor,NHIDCL,Bihar,BIH-35,RNR_DELAY,7.3274,5.4837,143,58,17,2025-02-13,Rolling,Rural,0,60.839
SYN-00062,Synthetic Transmission Project 00062,Transmission,State PWD,Maharashtra,MAH-08,NORMAL,33.3536,24.1186,575,194,13,2024-09-17,Coastal,Semi-Urban,1,23.779
SYN-00063,Synthetic Transmission Project 00063,Transmission,Railway,Maharashtra,MAH-19,NORMAL,15.5833,12.0057,199,88,9,2023-07-07,Riverine,Urban,1,26.679
SYN-00064,Synthetic Transmission Project 00064,Transmission,NHIDCL,Uttar Pradesh,UTT-22,NORMAL,51.693,40.3263,865,294,86,2024-07-22,Riverine,Urban,0,24.404
SYN-00065,Synthetic Irrigation Project 00065,Irrigation,NHAI,Assam,ASS-16,NORMAL,9.9388,7.5742,145,92,18,2021-04-07,Coastal,Urban,1,28.943
SYN-00066,Synthetic Railway Project 00066,Railway,Irrigation Department,Assam,ASS-02,MULTI_FACTOR_DELAY,31.4383,26.0337,176,104,11,2019-08-25,Coastal,Semi-Urban,0,78.614
SYN-00067,Synthetic Industrial Corridor Project 00067,Industrial Corridor,Railway,Jharkhand,JHA-21,MULTI_FACTOR_DELAY,13.4892,12.2477,133,43,6,2025-05-23,Rolling,Rural,1,66.994
SYN-00068,Synthetic Transmission Project 00068,Transmission,Power Utility,Bihar,BIH-32,NORMAL,22.1652,21.2007,187,38,11,2025-10-20,Coastal,Rural,0,38.648
SYN-00069,Synthetic Irrigation Project 00069,Irrigation,NHAI,Assam,ASS-07,NORMAL,14.0904,8.74,224,137,21,2022-10-06,Coastal,Rural,0,62.67
SYN-00070,Synthetic Industrial Corridor Project 00070,Industrial Corridor,Irrigation Department,West Bengal,WES-36,NORMAL,45.9844,42.1934,583,156,42,2019-12-21,Hilly,Semi-Urban,1,25.976
SYN-00071,Synthetic Irrigation Project 00071,Irrigation,Irrigation Department,Madhya Pradesh,MAD-16,MULTI_FACTOR_DELAY,6.8174,5.2181,72,36,6,2022-10-19,Rolling,Rural,0,41.359
SYN-00072,Synthetic Transmission Project 00072,Transmission,NHAI,Jharkhand,JHA-11,MULTI_FACTOR_DELAY,15.6707,13.0843,159,80,19,2024-11-17,Rolling,Rural,0,41.925
SYN-00073,Synthetic Industrial Corridor Project 00073,Industrial Corridor,NHAI,Madhya Pradesh,MAD-24,NORMAL,6.8953,5.0767,104,52,5,2023-11-17,Coastal,Semi-Urban,0,70.996
SYN-00074,Synthetic Irrigation Project 00074,Irrigation,Irrigation Department,Madhya Pradesh,MAD-28,COMPENSATION_DELAY,16.937,15.3249,237,70,18,2020-04-06,Plain,Urban,0,2.796
SYN-00075,Synthetic Irrigation Project 00075,Irrigation,Railway,Bihar,BIH-21,NORMAL,6.5859,6.5212,118,86,25,2025-08-12,Coastal,Rural,1,9.807
SYN-00076,Synthetic Irrigation Project 00076,Irrigation,NHAI,Maharashtra,MAH-34,DOCUMENTATION_DELAY,37.6419,22.6888,485,174,20,2021-01-02,Coastal,Urban,1,34.053
SYN-00077,Synthetic Irrigation Project 00077,Irrigation,Irrigation Department,Madhya Pradesh,MAD-13,MULTI_FACTOR_DELAY,9.0633,5.6544,136,74,14,2019-05-09,Hilly,Semi-Urban,0,70.879
SYN-00078,Synthetic Industrial Corridor Project 00078,Industrial Corridor,State PWD,Madhya Pradesh,MAD-16,NORMAL,75.3297,60.4956,867,271,56,2020-07-10,Hilly,Semi-Urban,0,78.957
SYN-00079,Synthetic Railway Project 00079,Railway,Irrigation Department,Bihar,BIH-12,ADMINISTRATIVE_BOTTLENECK,5.1108,4.084,35,22,3,2021-07-05,Plain,Rural,1,65.484
SYN-00080,Synthetic National Highway Project 00080,National Highway,Power Utility,Jharkhand,JHA-33,NORMAL,52.0243,39.5951,1031,348,92,2022-05-25,Plain,Urban,0,32.261
SYN-00081,Synthetic Urban Infrastructure Project 00081,Urban Infrastructure,NHIDCL,Bihar,BIH-21,NORMAL,23.9352,17.3961,385,220,49,2025-07-18,Hilly,Rural,0,4.218
SYN-00082,Synthetic Railway Project 00082,Railway,Power Utility,Bihar,BIH-05,NORMAL,15.4993,14.998,185,43,4,2024-05-30,Coastal,Semi-Urban,0,47.22
SYN-00083,Synthetic Irrigation Project 00083,Irrigation,NHAI,Bihar,BIH-23,LEGAL_DELAY,15.1758,13.5322,161,62,13,2024-06-28,Coastal,Rural,0,59.488
SYN-00084,Synthetic Urban Infrastructure Project 00084,Urban Infrastructure,NHIDCL,Madhya Pradesh,MAD-07,NORMAL,20.2561,20.0086,241,55,14,2020-12-24,Riverine,Semi-Urban,0,49.382
SYN-00085,Synthetic Urban Infrastructure Project 00085,Urban Infrastructure,NHAI,Odisha,ODI-09,LEGAL_DELAY,77.8585,69.0723,619,155,25,2025-09-23,Coastal,Urban,0,44.482
SYN-00086,Synthetic Industrial Corridor Project 00086,Industrial Corridor,Irrigation Department,Odisha,ODI-01,NORMAL,48.386,31.6567,349,251,18,2020-09-02,Rolling,Rural,0,20.652
SYN-00087,Synthetic Industrial Corridor Project 00087,Industrial Corridor,NHIDCL,Madhya Pradesh,MAD-07,COMPENSATION_DELAY,17.27,15.8123,331,205,39,2020-10-09,Coastal,Rural,0,64.167
SYN-00088,Synthetic Irrigation Project 00088,Irrigation,Power Utility,West Bengal,WES-15,MULTI_FACTOR_DELAY,38.3667,28.5405,642,292,71,2023-03-04,Hilly,Semi-Urban,0,46.902
SYN-00089,Synthetic Railway Project 00089,Railway,State PWD,Assam,ASS-27,NORMAL,69.1056,48.1852,1170,878,124,2025-09-24,Hilly,Semi-Urban,0,19.313
SYN-00090,Synthetic Railway Project 00090,Railway,NHIDCL,Madhya Pradesh,MAD-09,COMPENSATION_DELAY,7.6328,7.4754,146,54,11,2023-05-10,Plain,Rural,0,61.781
SYN-00091,Synthetic Irrigation Project 00091,Irrigation,State PWD,Maharashtra,MAH-34,RECOVERY,14.8947,9.823,126,78,21,2021-07-23,Riverine,Rural,0,14.347
SYN-00092,Synthetic Urban Infrastructure Project 00092,Urban Infrastructure,NHIDCL,Maharashtra,MAH-35,ADMINISTRATIVE_BOTTLENECK,5.0,3.0272,89,26,4,2024-11-29,Riverine,Semi-Urban,0,2.391
SYN-00093,Synthetic Railway Project 00093,Railway,Power Utility,Assam,ASS-03,DOCUMENTATION_DELAY,21.6873,19.4342,265,117,31,2024-11-12,Hilly,Semi-Urban,0,62.075
SYN-00094,Synthetic Urban Infrastructure Project 00094,Urban Infrastructure,NHAI,Odisha,ODI-16,MULTI_FACTOR_DELAY,9.2123,6.7562,83,63,4,2021-04-25,Rolling,Rural,0,28.629
SYN-00095,Synthetic Industrial Corridor Project 00095,Industrial Corridor,State PWD,Odisha,ODI-28,ADMINISTRATIVE_BOTTLENECK,28.2729,23.5357,292,126,30,2022-06-28,Rolling,Urban,1,77.306
SYN-00096,Synthetic Urban Infrastructure Project 00096,Urban Infrastructure,Irrigation Department,Assam,ASS-15,NORMAL,20.2517,17.8562,255,99,17,2023-06-30,Coastal,Rural,0,43.497
SYN-00097,Synthetic Irrigation Project 00097,Irrigation,Irrigation Department,West Bengal,WES-13,RNR_DELAY,35.3167,28.0138,375,237,71,2021-07-02,Hilly,Rural,1,37.41
SYN-00098,Synthetic Transmission Project 00098,Transmission,NHAI,West Bengal,WES-34,COMPENSATION_DELAY,22.3177,16.9974,167,99,25,2025-03-09,Coastal,Rural,0,34.695
SYN-00099,Synthetic Irrigation Project 00099,Irrigation,State PWD,Bihar,BIH-04,COMPENSATION_DELAY,16.8745,14.9147,202,73,12,2023-03-07,Hilly,Urban,0,29.833
SYN-00100,Synthetic Industrial Corridor Project 00100,Industrial Corridor,Power Utility,Bihar,BIH-02,MULTI_FACTOR_DELAY,33.0064,21.1763,482,245,32,2025-03-07,Plain,Urban,0,8.576
SYN-00101,Synthetic Industrial Corridor Project 00101,Industrial Corridor,Railway,Jharkhand,JHA-02,MULTI_FACTOR_DELAY,10.9613,10.6089,193,118,32,2020-09-28,Rolling,Urban,0,38.835
SYN-00102,Synthetic Transmission Project 00102,Transmission,State PWD,Uttar Pradesh,UTT-01,LEGAL_DELAY,12.6141,10.5058,68,17,2,2020-07-27,Coastal,Rural,1,67.087
SYN-00103,Synthetic Railway Project 00103,Railway,Railway,Bihar,BIH-30,NORMAL,9.2818,7.5459,93,46,6,2024-10-08,Riverine,Rural,0,13.266
SYN-00104,Synthetic Railway Project 00104,Railway,Irrigation Department,Uttar Pradesh,UTT-15,RECOVERY,9.549,8.1614,135,74,5,2020-07-01,Coastal,Rural,0,43.479
SYN-00105,Synthetic Transmission Project 00105,Transmission,Power Utility,Uttar Pradesh,UTT-25,LEGAL_DELAY,26.4575,21.9536,258,138,29,2025-12-30,Plain,Rural,1,62.259
SYN-00106,Synthetic Transmission Project 00106,Transmission,Railway,Odisha,ODI-22,NORMAL,20.8036,17.0943,297,65,6,2025-04-16,Coastal,Rural,0,78.104
SYN-00107,Synthetic National Highway Project 00107,National Highway,Power Utility,Odisha,ODI-30,DOCUMENTATION_DELAY,22.3975,19.8452,125,64,10,2024-05-02,Coastal,Urban,0,33.095
SYN-00108,Synthetic Industrial Corridor Project 00108,Industrial Corridor,Railway,Jharkhand,JHA-29,LEGAL_DELAY,50.6954,42.4014,768,185,55,2020-09-23,Coastal,Urban,0,47.252
SYN-00109,Synthetic Transmission Project 00109,Transmission,State PWD,Odisha,ODI-01,DOCUMENTATION_DELAY,39.3362,27.4942,519,135,21,2025-09-06,Rolling,Rural,0,44.863
SYN-00110,Synthetic Urban Infrastructure Project 00110,Urban Infrastructure,NHAI,Uttar Pradesh,UTT-32,NORMAL,15.8294,12.6012,265,185,14,2021-07-05,Riverine,Semi-Urban,0,64.256
SYN-00111,Synthetic Irrigation Project 00111,Irrigation,Irrigation Department,Odisha,ODI-09,NORMAL,20.9841,19.6005,386,112,13,2023-07-12,Coastal,Semi-Urban,0,47.105
SYN-00112,Synthetic Irrigation Project 00112,Irrigation,State PWD,Uttar Pradesh,UTT-06,MULTI_FACTOR_DELAY,47.7912,44.9165,289,198,16,2022-01-12,Rolling,Semi-Urban,0,52.496
SYN-00113,Synthetic Railway Project 00113,Railway,Railway,West Bengal,WES-15,NORMAL,24.4214,21.071,283,192,11,2025-03-27,Riverine,Semi-Urban,0,19.613
SYN-00114,Synthetic National Highway Project 00114,National Highway,NHAI,Madhya Pradesh,MAD-39,COMPENSATION_DELAY,15.4214,9.6492,158,58,11,2025-11-21,Rolling,Semi-Urban,0,17.822
SYN-00115,Synthetic Industrial Corridor Project 00115,Industrial Corridor,Power Utility,West Bengal,WES-31,NORMAL,25.9024,24.1652,151,97,26,2023-03-27,Plain,Semi-Urban,0,31.783
SYN-00116,Synthetic Industrial Corridor Project 00116,Industrial Corridor,Irrigation Department,Madhya Pradesh,MAD-22,MULTI_FACTOR_DELAY,12.8238,10.5433,220,125,20,2019-08-04,Riverine,Urban,0,74.859
SYN-00117,Synthetic National Highway Project 00117,National Highway,State PWD,Uttar Pradesh,UTT-22,RECOVERY,11.0218,7.3004,192,43,6,2023-01-16,Rolling,Urban,0,3.201
SYN-00118,Synthetic Transmission Project 00118,Transmission,Power Utility,Jharkhand,JHA-34,RECOVERY,9.0302,8.8771,63,48,12,2020-01-10,Riverine,Urban,0,60.231
SYN-00119,Synthetic National Highway Project 00119,National Highway,Railway,Madhya Pradesh,MAD-26,NORMAL,50.3793,48.9254,436,245,54,2020-11-30,Hilly,Semi-Urban,0,25.351
SYN-00120,Synthetic Irrigation Project 00120,Irrigation,Irrigation Department,Bihar,BIH-07,NORMAL,22.653,18.0554,237,59,13,2024-06-05,Hilly,Rural,0,61.135
SYN-00121,Synthetic Urban Infrastructure Project 00121,Urban Infrastructure,Irrigation Department,Maharashtra,MAH-10,NORMAL,44.9718,29.589,469,158,19,2024-03-08,Riverine,Rural,0,49.339
SYN-00122,Synthetic Transmission Project 00122,Transmission,State PWD,Maharashtra,MAH-12,DOCUMENTATION_DELAY,5.0,3.9247,98,35,6,2020-08-21,Plain,Semi-Urban,1,64.604
SYN-00123,Synthetic Irrigation Project 00123,Irrigation,Power Utility,Assam,ASS-05,RNR_DELAY,6.8783,6.3392,77,42,9,2019-10-20,Riverine,Rural,0,42.436
SYN-00124,Synthetic Urban Infrastructure Project 00124,Urban Infrastructure,NHIDCL,Uttar Pradesh,UTT-37,MULTI_FACTOR_DELAY,13.44,12.1098,258,148,31,2023-03-02,Rolling,Semi-Urban,0,20.723
SYN-00125,Synthetic Industrial Corridor Project 00125,Industrial Corridor,Irrigation Department,West Bengal,WES-28,ADMINISTRATIVE_BOTTLENECK,36.5603,31.3213,296,110,26,2024-02-02,Riverine,Rural,0,40.83
SYN-00126,Synthetic Irrigation Project 00126,Irrigation,Irrigation Department,Madhya Pradesh,MAD-34,RNR_DELAY,28.03,17.0635,264,56,8,2025-05-22,Coastal,Semi-Urban,0,43.834
SYN-00127,Synthetic National Highway Project 00127,National Highway,NHIDCL,Uttar Pradesh,UTT-15,ADMINISTRATIVE_BOTTLENECK,18.7981,12.226,143,82,10,2019-11-17,Hilly,Semi-Urban,0,69.407
SYN-00128,Synthetic Urban Infrastructure Project 00128,Urban Infrastructure,NHAI,West Bengal,WES-13,RNR_DELAY,14.3319,13.0664,151,40,6,2023-05-11,Rolling,Rural,0,9.826
SYN-00129,Synthetic Industrial Corridor Project 00129,Industrial Corridor,Railway,Bihar,BIH-24,ADMINISTRATIVE_BOTTLENECK,7.9878,7.0186,66,30,2,2020-02-02,Hilly,Rural,0,24.155
SYN-00130,Synthetic Industrial Corridor Project 00130,Industrial Corridor,Irrigation Department,Uttar Pradesh,UTT-15,NORMAL,15.0461,11.6952,86,66,19,2025-02-02,Rolling,Semi-Urban,1,73.343
SYN-00131,Synthetic National Highway Project 00131,National Highway,NHIDCL,Assam,ASS-12,COMPENSATION_DELAY,56.584,45.5096,728,565,122,2019-07-31,Coastal,Urban,0,55.123
SYN-00132,Synthetic National Highway Project 00132,National Highway,Railway,Uttar Pradesh,UTT-18,RECOVERY,11.6194,9.44,87,21,3,2022-02-19,Rolling,Semi-Urban,0,70.377
SYN-00133,Synthetic Urban Infrastructure Project 00133,Urban Infrastructure,Power Utility,Maharashtra,MAH-31,NORMAL,6.2705,5.5235,78,43,9,2019-03-10,Coastal,Urban,0,76.297
SYN-00134,Synthetic National Highway Project 00134,National Highway,Power Utility,Assam,ASS-10,MULTI_FACTOR_DELAY,14.6304,12.3637,264,180,16,2019-08-20,Hilly,Semi-Urban,0,24.134
SYN-00135,Synthetic Irrigation Project 00135,Irrigation,NHIDCL,Maharashtra,MAH-26,ADMINISTRATIVE_BOTTLENECK,14.6783,10.6943,196,93,13,2025-07-23,Plain,Rural,0,59.67
SYN-00136,Synthetic National Highway Project 00136,National Highway,NHAI,Madhya Pradesh,MAD-31,NORMAL,13.2397,10.8545,254,202,33,2023-07-03,Hilly,Urban,0,24.209
SYN-00137,Synthetic Transmission Project 00137,Transmission,Power Utility,West Bengal,WES-09,MULTI_FACTOR_DELAY,35.7851,23.3457,226,156,24,2022-09-21,Riverine,Rural,0,9.983
SYN-00138,Synthetic Transmission Project 00138,Transmission,Power Utility,Bihar,BIH-23,NORMAL,18.8387,16.4694,173,78,16,2020-07-22,Coastal,Rural,1,0.656
SYN-00139,Synthetic Irrigation Project 00139,Irrigation,Irrigation Department,Jharkhand,JHA-10,MULTI_FACTOR_DELAY,25.89,21.5286,295,194,30,2024-03-27,Rolling,Semi-Urban,0,30.556
