project_id,scenario_ground_truth,total_snapshots,observation_start_date,observation_end_date,final_stage,delayed,delay_days,first_delay_day,delay_30_event_count,delay_60_event_count,delay_90_event_count,is_censored,synthetic_ground_truth_note
SYN-00016,ADMINISTRATIVE_BOTTLENECK,11,2020-07-16,2021-05-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00017,LEGAL_DELAY,12,2022-09-13,2023-08-09,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00018,LEGAL_DELAY,8,2023-07-11,2024-02-06,3D,1,126,84.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00019,MULTI_FACTOR_DELAY,12,2019-05-29,2020-04-23,3A,1,173,157.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00020,ADMINISTRATIVE_BOTTLENECK,13,2020-11-02,2021-10-28,3D,1,162,198.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00021,LEGAL_DELAY,9,2025-02-18,2025-10-16,3D,1,122,118.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00022,LEGAL_DELAY,9,2025-01-24,2025-09-21,3D,1,76,164.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00023,NORMAL,11,2021-12-16,2022-10-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00024,LEGAL_DELAY,9,2025-07-19,2026-03-16,3D,1,171,69.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00025,DOCUMENTATION_DELAY,15,2021-01-28,2022-03-24,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00026,MULTI_FACTOR_DELAY,13,2021-08-07,2022-08-02,3A,1,267,93.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00027,RNR_DELAY,12,2023-05-22,2024-04-16,3D,1,133,197.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00028,NORMAL,8,2025-07-10,2026-02-05,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00029,MULTI_FACTOR_DELAY,12,2020-04-29,2021-03-25,3A,1,179,151.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00030,NORMAL,13,2023-08-09,2024-08-03,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00031,NORMAL,10,2019-04-07,2020-01-02,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00032,NORMAL,15,2020-04-19,2021-06-13,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00033,RNR_DELAY,10,2025-04-10,2026-01-05,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00034,DOCUMENTATION_DELAY,8,2023-09-17,2024-04-14,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00035,NORMAL,12,2024-07-25,2025-06-20,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00036,COMPENSATION_DELAY,8,2022-01-23,2022-08-21,3D,1,121,89.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00037,NORMAL,11,2022-07-16,2023-05-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00038,RECOVERY,14,2021-03-08,2022-04-02,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00039,NORMAL,14,2024-11-13,2025-12-08,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00040,MULTI_FACTOR_DELAY,11,2025-03-22,2026-01-16,3A,1,92,208.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00041,NORMAL,10,2019-05-11,2020-02-05,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00042,RECOVERY,13,2022-06-22,2023-06-17,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00043,ADMINISTRATIVE_BOTTLENECK,12,2022-05-13,2023-04-08,3D,1,186,144.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00044,COMPENSATION_DELAY,9,2023-03-06,2023-11-01,3D,1,65,175.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00045,NORMAL,10,2024-12-16,2025-09-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00046,NORMAL,15,2019-10-01,2020-11-24,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00047,NORMAL,11,2025-11-22,2026-09-18,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00048,RNR_DELAY,9,2020-12-02,2021-07-30,3D,1,115,125.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00049,COMPENSATION_DELAY,12,2022-02-20,2023-01-16,3D,1,149,181.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00050,MULTI_FACTOR_DELAY,12,2019-10-07,2020-09-01,3A,1,231,99.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00051,NORMAL,10,2023-05-26,2024-02-20,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00052,MULTI_FACTOR_DELAY,12,2022-07-01,2023-05-27,3A,1,110,220.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00053,NORMAL,15,2022-02-06,2023-04-02,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00054,ADMINISTRATIVE_BOTTLENECK,13,2025-01-05,2025-12-31,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00055,NORMAL,8,2019-03-29,2019-10-25,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00056,NORMAL,14,2023-11-15,2024-12-09,3D,1,187,203.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00057,LEGAL_DELAY,9,2019-07-05,2020-03-01,3D,1,106,134.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00058,NORMAL,9,2020-12-07,2021-08-04,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00059,NORMAL,15,2021-04-03,2022-05-28,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00060,NORMAL,15,2023-01-05,2024-02-29,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00061,RNR_DELAY,14,2025-02-13,2026-03-10,3D,1,117,273.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00062,NORMAL,14,2024-09-17,2025-10-12,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00063,NORMAL,15,2023-07-07,2024-08-30,3D,1,201,219.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00064,NORMAL,14,2024-07-22,2025-08-16,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00065,NORMAL,10,2021-04-07,2022-01-02,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00066,MULTI_FACTOR_DELAY,14,2019-08-25,2020-09-18,3A,1,193,197.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00067,MULTI_FACTOR_DELAY,8,2025-05-23,2025-12-19,3A,1,105,105.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00068,NORMAL,14,2025-10-20,2026-11-14,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00069,NORMAL,8,2022-10-06,2023-05-04,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00070,NORMAL,8,2019-12-21,2020-07-18,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00071,MULTI_FACTOR_DELAY,13,2022-10-19,2023-10-14,3A,1,224,136.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00072,MULTI_FACTOR_DELAY,8,2024-11-17,2025-06-15,3A,1,62,148.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00073,NORMAL,10,2023-11-17,2024-08-13,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00074,COMPENSATION_DELAY,10,2020-04-06,2021-01-01,3D,1,120,150.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00075,NORMAL,8,2025-08-12,2026-03-10,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00076,DOCUMENTATION_DELAY,8,2021-01-02,2021-07-31,3D,1,35,175.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00077,MULTI_FACTOR_DELAY,10,2019-05-09,2020-02-03,3A,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00078,NORMAL,8,2020-07-10,2021-02-05,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00079,ADMINISTRATIVE_BOTTLENECK,13,2021-07-05,2022-06-30,3D,1,54,306.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00080,NORMAL,13,2022-05-25,2023-05-20,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00081,NORMAL,15,2025-07-18,2026-09-11,3D,1,204,216.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00082,NORMAL,8,2024-05-30,2024-12-26,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00083,LEGAL_DELAY,12,2024-06-28,2025-05-24,3D,1,201,129.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00084,NORMAL,13,2020-12-24,2021-12-19,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00085,LEGAL_DELAY,13,2025-09-23,2026-09-18,3D,1,185,175.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00086,NORMAL,8,2020-09-02,2021-03-31,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00087,COMPENSATION_DELAY,15,2020-10-09,2021-12-03,3D,1,320,100.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00088,MULTI_FACTOR_DELAY,9,2023-03-04,2023-10-30,3A,1,62,178.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00089,NORMAL,10,2025-09-24,2026-06-21,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00090,COMPENSATION_DELAY,13,2023-05-10,2024-05-04,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00091,RECOVERY,10,2021-07-23,2022-04-19,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00092,ADMINISTRATIVE_BOTTLENECK,11,2024-11-29,2025-09-25,3D,1,146,154.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00093,DOCUMENTATION_DELAY,14,2024-11-12,2025-12-07,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00094,MULTI_FACTOR_DELAY,9,2021-04-25,2021-12-21,3A,1,138,102.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00095,ADMINISTRATIVE_BOTTLENECK,15,2022-06-28,2023-08-22,3D,1,181,239.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00096,NORMAL,13,2023-06-30,2024-06-24,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00097,RNR_DELAY,8,2021-07-02,2022-01-28,3D,1,144,66.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00098,COMPENSATION_DELAY,11,2025-03-09,2026-01-03,3D,1,218,82.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00099,COMPENSATION_DELAY,11,2023-03-07,2024-01-01,3D,1,59,241.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00100,MULTI_FACTOR_DELAY,14,2025-03-07,2026-04-01,3A,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00101,MULTI_FACTOR_DELAY,9,2020-09-28,2021-05-26,3A,1,83,157.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00102,LEGAL_DELAY,12,2020-07-27,2021-06-22,3D,1,108,222.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00103,NORMAL,8,2024-10-08,2025-05-06,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00104,RECOVERY,10,2020-07-01,2021-03-28,3D,1,109,161.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00105,LEGAL_DELAY,12,2025-12-30,2026-11-25,3D,1,168,162.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00106,NORMAL,11,2025-04-16,2026-02-10,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00107,DOCUMENTATION_DELAY,13,2024-05-02,2025-04-27,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00108,LEGAL_DELAY,9,2020-09-23,2021-05-21,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00109,DOCUMENTATION_DELAY,14,2025-09-06,2026-10-01,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00110,NORMAL,13,2021-07-05,2022-06-30,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00111,NORMAL,15,2023-07-12,2024-09-04,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00112,MULTI_FACTOR_DELAY,14,2022-01-12,2023-02-06,3A,1,117,273.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00113,NORMAL,14,2025-03-27,2026-04-21,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00114,COMPENSATION_DELAY,12,2025-11-21,2026-10-17,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00115,NORMAL,11,2023-03-27,2024-01-21,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00116,MULTI_FACTOR_DELAY,8,2019-08-04,2020-03-01,3A,1,125,85.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00117,RECOVERY,14,2023-01-16,2024-02-10,3D,1,109,281.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00118,RECOVERY,13,2020-01-10,2021-01-04,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00119,NORMAL,11,2020-11-30,2021-09-26,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00120,NORMAL,11,2024-06-05,2025-04-01,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00121,NORMAL,15,2024-03-08,2025-05-02,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00122,DOCUMENTATION_DELAY,10,2020-08-21,2021-05-18,3D,1,119,151.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00123,RNR_DELAY,13,2019-10-20,2020-10-14,3D,1,252,108.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00124,MULTI_FACTOR_DELAY,12,2023-03-02,2024-01-26,3A,1,107,223.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00125,ADMINISTRATIVE_BOTTLENECK,10,2024-02-02,2024-10-29,3D,1,161,109.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00126,RNR_DELAY,10,2025-05-22,2026-02-16,3D,1,164,106.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00127,ADMINISTRATIVE_BOTTLENECK,14,2019-11-17,2020-12-11,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00128,RNR_DELAY,8,2023-05-11,2023-12-07,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00129,ADMINISTRATIVE_BOTTLENECK,13,2020-02-02,2021-01-27,3D,1,146,214.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00130,NORMAL,10,2025-02-02,2025-10-30,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00131,COMPENSATION_DELAY,13,2019-07-31,2020-07-25,3D,1,214,146.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00132,RECOVERY,12,2022-02-19,2023-01-15,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00133,NORMAL,14,2019-03-10,2020-04-03,3D,0,0,,0,0,0,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00134,MULTI_FACTOR_DELAY,15,2019-08-20,2020-10-13,3A,1,292,128.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00135,ADMINISTRATIVE_BOTTLENECK,11,2025-07-23,2026-05-19,3D,1,183,117.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00136,NORMAL,13,2023-07-03,2024-06-27,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00137,MULTI_FACTOR_DELAY,11,2022-09-21,2023-07-18,3A,1,115,185.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00138,NORMAL,10,2020-07-22,2021-04-18,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00139,MULTI_FACTOR_DELAY,13,2024-03-27,2025-03-22,3A,1,100,260.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00140,COMPENSATION_DELAY,14,2021-12-15,2023-01-09,3D,1,88,302.0,1,2,3,1,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00141,NORMAL,11,2024-03-25,2025-01-19,3D,0,0,,0,0,0,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00142,RNR_DELAY,11,2019-02-03,2019-11-30,3D,1,186,114.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
SYN-00143,ADMINISTRATIVE_BOTTLENECK,14,2020-06-08,2021-07-03,3D,1,86,304.0,1,2,3,0,"Synthetic outcome generated for model development and pipeline testing only; not a legal, statutory, or empirical real-world benchmark."
